Designator,Mid X,Mid Y,Rotation,Layer
C1,148.995,-103.82,0.0,top
C2,153.145,-102.67,0.0,top
C3,150.67,-108.82,0.0,top
C4,150.64,-106.42,180.0,top
C5,154.85,-107.57,0.0,top
C6,151.57,-115.95,270.0,top
C7,153.87,-115.9,270.0,top
D1,144.47,-108.02,270.0,top
D2,144.47,-110.62,270.0,top
D3,144.47,-113.22,270.0,top
D4,144.47,-118.64,270.0,top
D5,144.47,-115.8625,270.0,top
J1,141.77,-110.47,0.0,top
J2,157.67,-110.61,0.0,top
R1,147.92,-107.42,0.0,top
R2,147.07,-109.72,90.0,top
R3,147.07,-112.72,90.0,top
R4,147.07,-118.745,90.0,top
R5,147.07,-115.74,90.0,top
U1,153.28,-111.61,90.0,top
